gre_score,toefl_score,univ_ranking,motiv_letter_strength,recommendation_strength,gpa,research_exp,admit_status,gender,education,id_student,final_score
318,100,2,2.5,3.5,8.54,yes,1,female,bachelor,STD1252,800
335,115,4,4.5,4.5,9.68,yes,1,male,bachelor,STD1253,950
321,114,4,4,5,9.12,no,1,female,bachelor,STD1254,893
307,110,4,4,4.5,8.37,no,1,male,bachelor,STD1255,816
309,99,3,4,4,8.56,no,1,male,bachelor,STD1256,806
324,100,3,4,5,8.64,yes,1,male,bachelor,STD1257,860
326,102,4,5,5,8.76,yes,1,male,master,STD1258,904
331,119,4,5,4.5,9.34,yes,1,male,bachelor,STD1252,948
327,108,5,5,3.5,9.13,yes,1,female,bachelor,STD1260,873
312,104,3,3.5,4,8.09,no,1,male,bachelor,STD1261,795
308,103,2,2.5,4,8.36,no,0,male,master,STD1262,541
324,111,3,2.5,1.5,8.79,yes,0,male,master,STD1263,560
325,110,2,3,2.5,8.76,yes,1,female,master,STD1264,864
313,102,3,2.5,2.5,8.68,no,1,female,bachelor,STD1265,768
312,105,2,2,2.5,8.45,no,1,female,master,STD1266,791
314,107,3,3,3.5,8.17,yes,1,female,master,STD1267,813
327,113,4,4.5,5,9.14,no,1,female,bachelor,STD1268,915
308,108,4,4.5,5,8.34,no,1,female,master,STD1269,854
306,105,2,2.5,3,8.22,yes,1,female,bachelor,STD1270,766
299,96,2,1.5,2,7.86,no,0,female,bachelor,STD1271,337
294,95,1,1.5,1.5,7.64,no,0,female,master,STD1272,348
312,99,1,1,1.5,8.01,yes,0,female,bachelor,STD1273,390
315,100,1,2,2.5,7.95,no,0,male,master,STD1274,493
322,110,3,3.5,3,8.96,yes,1,female,bachelor,STD1275,848
329,113,5,5,4.5,9.45,yes,1,female,bachelor,STD1276,919
320,101,2,2.5,3,8.62,no,0,female,bachelor,STD1277,526
308,103,2,3,3.5,8.49,no,0,male,master,STD1278,552
304,102,2,3,4,8.73,no,0,female,bachelor,STD1279,529
311,102,3,4.5,4,8.64,yes,0,male,bachelor,STD1280,572
317,110,3,4,4.5,9.11,yes,1,female,bachelor,STD1281,881
312,106,3,4,3.5,8.79,yes,1,female,master,STD1001,853
321,111,3,2.5,3,8.9,yes,1,male,bachelor,STD1283,825
340,112,4,5,4.5,9.66,yes,1,male,master,STD1284,986
331,116,5,4,4,9.26,yes,1,male,master,STD1285,916
336,118,5,4.5,4,9.19,yes,1,male,bachelor,STD1286,916
324,114,5,5,4.5,9.08,yes,1,male,master,STD1287,920
314,104,4,5,5,9.02,no,1,female,master,STD1288,895
313,109,3,4,3.5,9,no,1,male,master,STD1289,871
307,105,2,2.5,3,7.65,no,0,female,bachelor,STD1290,441
300,102,2,1.5,2,7.87,no,0,female,bachelor,STD1291,363
302,99,2,1,2,7.97,no,0,female,master,STD1292,383
312,98,1,3.5,3,8.18,yes,0,female,bachelor,STD1293,517
316,101,2,2.5,2,8.32,yes,0,female,bachelor,STD1294,469
317,100,2,3,2.5,8.57,no,0,female,master,STD1295,548
310,107,3,3.5,3.5,8.67,no,1,male,bachelor,STD1296,813
,120,3,4,4.5,9.11,no,1,female,master,STD1297,651
330,114,3,4.5,4.5,9.24,yes,1,male,bachelor,STD1298,933
305,112,3,3,3.5,8.65,no,1,male,bachelor,STD1299,803
309,106,2,2.5,2.5,8,no,0,male,bachelor,STD1300,459
319,108,2,2.5,3,8.76,no,0,female,bachelor,STD1301,558
322,105,2,3,3,8.45,yes,0,male,bachelor,STD1302,553
323,107,3,3.5,3.5,8.55,yes,1,male,bachelor,STD1303,835
313,106,2,2.5,2,8.43,no,0,male,master,STD1304,520
321,109,3,3.5,3.5,8.8,yes,1,female,bachelor,STD1305,846
323,110,3,4,3.5,9.1,yes,1,female,bachelor,STD1306,875
325,112,4,4,4,9,yes,1,female,master,STD1307,898
312,108,3,3.5,3,8.53,no,0,male,master,STD1308,567
308,110,4,3.5,3,8.6,no,0,male,bachelor,STD1309,510
320,104,3,3,3.5,8.74,yes,1,female,master,STD1310,841
328,108,4,4.5,4,9.18,yes,1,female,master,STD1311,912
311,107,4,4.5,4.5,9,yes,1,female,master,STD1312,876
301,100,3,3.5,3,8.04,no,0,female,bachelor,STD1313,438
305,105,2,3,4,8.13,no,0,male,master,STD1314,541
308,104,2,2.5,3,8.07,no,0,male,bachelor,STD1315,466
298,101,2,1.5,2,7.86,no,0,male,bachelor,STD1316,352
300,99,1,1,2.5,8.01,no,0,male,master,STD1317,413
324,111,3,2.5,2,8.8,yes,1,female,master,STD1318,833
327,113,4,3.5,3,8.69,yes,1,female,master,STD1319,864
317,106,3,4,3.5,8.5,yes,1,female,bachelor,STD1320,829
323,104,3,4,4,8.44,yes,1,female,master,STD1321,865
314,107,2,2.5,4,8.27,no,1,male,master,STD1322,829
305,102,2,2,2.5,8.18,no,0,female,bachelor,STD1323,427
315,104,3,3,2.5,8.33,no,0,female,master,STD1324,520
326,116,3,3.5,4,9.14,yes,1,female,bachelor,STD1325,896
299,100,3,2,2,8.02,no,0,female,master,STD1326,391
295,101,2,2.5,2,7.86,no,0,male,master,STD1327,410
324,112,4,4,3.5,8.77,yes,1,male,master,STD1328,878
297,96,2,2.5,1.5,7.89,no,0,male,master,STD1329,387
327,113,3,3.5,3,8.66,yes,1,male,master,STD1330,877
311,105,2,3,2,8.12,yes,1,male,bachelor,STD1331,765
308,106,3,3.5,2.5,8.21,yes,1,male,master,STD1332,793
319,108,3,3,3.5,8.54,yes,1,female,bachelor,STD1333,818
312,107,4,4.5,4,8.65,yes,1,female,bachelor,STD1334,832
325,111,4,4,4.5,9.11,yes,1,male,bachelor,STD1335,885
319,110,3,3,2.5,8.79,no,1,male,bachelor,STD1336,816
332,118,5,5,5,9.47,yes,1,female,master,STD1337,970
323,108,5,4,4,8.74,yes,1,female,bachelor,STD1338,836
324,107,5,3.5,4,8.66,yes,1,male,master,STD1339,844
312,107,3,3,3,8.46,yes,1,female,bachelor,STD1340,789
326,110,3,3.5,3.5,8.76,yes,1,female,bachelor,STD1341,857
308,106,3,3,3,8.24,no,0,male,master,STD1342,513
305,103,2,2.5,3.5,8.13,no,0,male,master,STD1343,504
295,96,2,1.5,2,7.34,no,0,male,master,STD1344,327
316,98,1,1.5,2,7.43,no,0,male,master,STD1345,428
,97,2,1.5,2,7.64,no,0,male,bachelor,STD1346,300
299,94,1,1,1,7.34,no,0,female,master,STD1347,312
302,99,1,2,2,7.25,no,0,female,master,STD1348,393
313,101,3,2.5,3,8.04,no,0,female,bachelor,STD1349,447
318,107,3,3,3.5,8.27,yes,1,male,bachelor,STD1350,802
325,110,4,3.5,4,8.67,yes,1,female,master,STD1351,869
303,100,2,3,3.5,8.06,yes,0,male,master,STD1352,499
300,102,3,3.5,2.5,8.17,no,0,female,bachelor,STD1353,438
297,98,2,2.5,3,7.67,no,0,male,bachelor,STD1354,385
317,106,2,2,3.5,,no,1,male,master,STD1355,651
327,109,3,3.5,4,8.77,yes,1,female,bachelor,STD1356,866
301,104,2,3.5,3.5,7.89,yes,0,female,master,STD1357,514
314,105,2,2.5,2,7.64,no,0,female,bachelor,STD1358,436
321,107,2,2,1.5,8.44,no,1,female,bachelor,STD1359,774
322,110,3,4,5,8.64,yes,1,male,bachelor,STD1360,881
334,116,,4,3.5,9.54,yes,1,male,master,STD1361,651
338,,5,4.5,5,9.23,yes,1,female,bachelor,STD1362,651
306,103,2,2.5,3,8.36,no,0,male,master,STD1363,509
313,102,3,3.5,4,8.9,yes,1,male,master,STD1364,848
330,114,4,4.5,3,9.17,yes,1,female,bachelor,STD1365,890
320,104,3,3.5,4.5,8.34,yes,1,female,master,STD1366,853
311,98,1,1,2.5,7.46,no,0,male,bachelor,STD1367,376
298,92,1,2,2,7.88,no,0,male,master,STD1368,393
301,98,1,2,3,8.03,yes,0,female,master,STD1369,460
310,103,2,2.5,2.5,8.24,no,1,male,bachelor,STD1370,761
324,110,3,3.5,3,9.22,yes,1,female,bachelor,STD1371,863
336,119,4,4.5,4,9.62,yes,1,male,bachelor,STD1372,951
321,109,3,3,3,8.54,yes,1,male,bachelor,STD1373,816
315,105,2,2,2.5,7.65,no,0,female,bachelor,STD1374,437
304,101,2,2,2.5,7.66,no,0,male,master,STD1375,423
297,96,2,2.5,2,7.43,no,0,female,bachelor,STD1376,337
290,100,1,1.5,2,7.56,no,0,male,master,STD1377,362
303,98,1,2,2.5,7.65,no,0,male,bachelor,STD1378,395
311,99,1,2.5,3,8.43,yes,1,male,bachelor,STD1379,784
322,104,3,3.5,4,8.84,yes,1,male,bachelor,STD1380,846
319,105,3,3,3.5,8.67,yes,1,male,master,STD1381,839
324,110,4,4.5,4,9.15,yes,1,male,master,STD1382,908
300,100,3,3,3.5,8.26,no,0,female,master,STD1383,480
340,113,4,5,5,9.74,yes,1,female,master,STD1384,1000
335,117,5,5,5,9.82,yes,1,female,master,STD1385,988
302,101,2,2.5,3.5,7.96,no,0,male,master,STD1386,477
307,105,2,2,3.5,8.1,no,0,male,bachelor,STD1387,465
296,97,2,1.5,2,7.8,no,0,male,master,STD1388,362
320,108,3,3.5,4,8.44,yes,1,male,bachelor,STD1389,835
314,102,2,2,2.5,8.24,no,0,female,master,STD1390,493
318,106,3,2,,8.65,no,1,female,bachelor,STD1391,651
326,112,4,4,3.5,9.12,yes,1,female,bachelor,STD1392,873
317,104,2,3,3,8.76,no,1,female,master,STD1393,842
329,111,4,4.5,4,9.23,yes,1,male,master,STD1394,924
324,110,3,3.5,3.5,9.04,yes,1,male,bachelor,STD1395,864
325,107,3,3,3.5,9.11,yes,1,female,master,STD1396,874
330,116,4,5,4.5,9.45,yes,1,male,bachelor,STD1397,943
312,103,3,3.5,4,8.78,no,0,male,bachelor,STD1398,555
333,117,4,5,4,9.66,yes,1,female,master,STD1399,975
304,100,2,3.5,3,8.22,no,0,male,master,STD1400,515
315,105,2,3,3,8.34,no,0,female,bachelor,STD1401,524
324,109,3,3.5,3,8.94,yes,1,male,bachelor,STD1402,849
330,116,4,4,3.5,9.23,yes,1,female,master,STD1403,919
311,101,3,2,2.5,7.64,yes,0,male,bachelor,STD1404,387
302,99,3,2.5,3,7.45,no,0,male,master,STD1028,404
322,103,4,3,2.5,8.02,yes,0,male,bachelor,STD1406,463
298,100,3,2.5,4,7.95,yes,0,male,master,STD1407,452
297,101,3,2,4,7.67,yes,0,female,bachelor,STD1408,384
300,,1,2,2.5,8.02,no,0,male,master,STD1409,300
301,,1,3,4,7.56,no,0,female,master,STD1410,300
313,94,2,2.5,1.5,8.13,no,0,female,bachelor,STD1411,409
314,102,4,2.5,2,7.88,yes,0,female,bachelor,STD1412,396
317,101,3,3,2,7.94,yes,0,male,master,STD1413,478
,110,4,3.5,4,8.35,yes,1,male,bachelor,STD1414,651
327,106,4,4,4.5,8.75,yes,1,male,master,STD1415,885
315,104,3,4,2.5,8.1,no,0,female,bachelor,STD1416,504
316,103,3,3.5,2,7.68,no,0,female,bachelor,STD1417,448
309,111,2,2.5,4,8.03,no,0,male,master,STD1418,554
308,102,2,2,3.5,7.98,yes,0,male,bachelor,STD1419,450
299,100,3,2,3,7.42,no,0,female,master,STD1420,380
321,112,3,3,4.5,8.95,yes,1,male,bachelor,STD1421,866
322,112,4,3.5,2.5,9.02,yes,1,male,bachelor,STD1422,833
334,119,5,4.5,5,9.54,yes,1,female,bachelor,STD1423,946
325,114,5,4,5,9.46,yes,1,female,master,STD1424,924
323,111,5,4,5,9.86,yes,1,male,bachelor,STD1425,906
312,106,3,3,5,8.57,no,1,female,bachelor,STD1426,826
310,101,3,3.5,5,8.65,yes,1,male,bachelor,STD1427,823
316,103,2,2,4.5,8.74,no,0,male,master,STD1428,586
340,115,5,5,4.5,9.06,yes,1,male,bachelor,STD1429,931
311,104,3,4,3.5,8.13,yes,1,female,master,STD1430,819
320,112,2,3.5,3.5,8.78,yes,1,female,master,STD1431,888
324,112,4,4.5,4,9.22,yes,1,male,bachelor,STD1432,892
316,111,4,4,5,8.54,no,1,female,bachelor,STD1433,852
306,103,3,3.5,3,8.21,no,0,female,bachelor,STD1434,476
309,105,2,2.5,4,7.68,no,0,male,master,STD1435,510
310,110,1,1.5,4,7.23,yes,0,female,bachelor,STD1436,458
317,106,,1.5,3.5,7.65,yes,0,male,master,STD1437,300
318,110,1,2.5,3.5,8.54,yes,0,male,bachelor,STD1438,583
312,105,2,1.5,3,8.46,no,0,female,bachelor,STD1439,474
305,104,2,2.5,1.5,7.79,no,0,female,bachelor,STD1440,401
332,112,1,1.5,3,8.66,yes,1,female,master,STD1441,870
331,116,4,4.5,4.5,9.44,yes,1,female,bachelor,STD1442,934
321,114,5,4.5,4.5,9.16,yes,1,male,master,STD1443,906
324,113,5,4,5,9.25,yes,1,male,bachelor,STD1444,888
328,116,5,4.5,5,9.08,yes,1,female,master,STD1445,931
327,118,4,5,5,9.67,yes,1,female,master,STD1446,983
320,108,3,3.5,5,8.97,yes,1,female,master,STD1447,897
312,109,2,2.5,4,9.02,no,1,female,bachelor,STD1448,838
315,101,3,3.5,4.5,9.13,no,1,male,master,STD1449,867
320,112,4,3,4.5,8.86,yes,1,male,master,STD1450,869
324,113,4,4.5,4.5,9.25,yes,1,female,bachelor,STD1451,905
328,,4,5,3.5,9.6,yes,1,female,bachelor,STD1452,651
319,103,3,2.5,,8.76,yes,1,female,master,STD1453,651
310,105,2,3,3.5,8.01,no,1,female,master,STD1454,808
305,102,2,1.5,2.5,7.64,no,0,female,master,STD1455,412
299,100,2,2,2,7.88,no,0,female,master,STD1456,404
295,99,1,2,1.5,7.57,no,0,female,bachelor,STD1457,343
312,,1,3,3,8.53,yes,0,male,bachelor,STD1458,300
329,113,4,4,3.5,9.36,yes,1,male,master,STD1459,914
319,105,4,4,4.5,8.66,yes,1,male,bachelor,STD1460,840
301,102,3,2.5,2,8.13,yes,0,female,bachelor,STD1461,393
307,105,4,3,3,7.94,no,0,female,bachelor,STD1462,432
304,107,3,3.5,3,7.86,no,0,female,master,STD1463,497
298,97,2,2,3,7.21,no,0,female,master,STD1464,375
305,96,4,3,4.5,8.26,no,0,female,bachelor,STD1465,451
314,99,4,3.5,4.5,8.73,yes,1,male,bachelor,STD1466,807
318,101,5,3.5,5,8.78,yes,1,female,bachelor,STD1467,816
323,110,4,4,5,8.88,yes,1,female,master,STD1468,901
326,114,4,4,3.5,9.16,yes,1,male,master,STD1469,903
320,110,5,4,4,9.27,yes,1,female,bachelor,STD1470,856
311,103,3,2,4,8.09,no,0,male,bachelor,STD1471,461
,116,4,4,4.5,9.48,yes,1,female,bachelor,STD1472,651
316,102,2,4,3.5,8.15,no,0,female,master,STD1473,585
308,105,4,3,2.5,7.95,yes,0,male,master,STD1474,457
300,101,3,3.5,2.5,7.88,no,0,male,master,STD1475,451
304,104,3,2.5,2,8.12,no,0,female,master,STD1476,444
309,105,4,3.5,2,8.18,no,0,male,master,STD1477,478
318,103,3,4,4.5,8.49,yes,1,female,bachelor,STD1478,840
325,110,4,4.5,4,8.96,no,1,female,bachelor,STD1479,879
321,102,3,3.5,4,9.01,yes,1,female,bachelor,STD1480,846
323,107,4,3,2.5,8.48,yes,1,female,master,STD1481,813
328,113,4,4,2.5,8.77,yes,1,female,master,STD1482,871
304,103,5,5,3,7.92,no,1,male,bachelor,STD1483,755
317,106,3,3.5,3,7.89,yes,1,female,bachelor,STD1484,785
317,105,3,3.5,3,8.56,no,0,female,bachelor,STD1163,539
319,102,3,2.5,2.5,8.37,no,0,female,bachelor,STD1486,477
327,115,4,3.5,4,9.14,no,1,male,master,STD1487,904
322,112,3,3,4,8.62,yes,1,male,master,STD1488,869
302,110,3,4,4.5,8.5,no,0,female,bachelor,STD1489,562
,105,2,2.5,4.5,8.12,yes,0,male,bachelor,STD1490,300
297,99,4,3,3.5,7.81,no,0,female,bachelor,STD1491,383
298,101,4,2.5,4.5,7.69,yes,0,male,bachelor,STD1492,396
300,95,,3,1.5,8.22,yes,0,female,master,STD1493,300
301,99,3,2.5,2,8.45,yes,0,male,master,STD1494,436
,108,5,4.5,4,9.02,yes,1,male,master,STD1495,651
337,117,5,5,5,9.87,yes,1,male,bachelor,STD1496,972
330,120,5,4.5,5,9.56,yes,1,female,bachelor,STD1497,941
312,103,4,4,5,8.43,no,1,male,master,STD1498,843
327,113,4,4.5,4.5,9.04,no,1,female,bachelor,STD1499,902
313,102,3,3.5,4,8.9,yes,1,male,bachelor,STD1500,825
328,108,4,4.5,4,9.18,yes,1,female,bachelor,STD1501,889
321,109,4,4,4,8.68,yes,0,female,bachelor,STD1502,594
325,106,3,3.5,4,8.4,yes,0,female,bachelor,STD1503,584
314,106,3,3,5,8.9,no,1,male,bachelor,STD1504,843
